order_id,order_date,region,product_category,units_sold,unit_price,discount,sales_amount
1,2024-06-21,South,Home,1,528.7,0,528.7
2,2024-02-17,East,Grocery,3,586.31,10,1583.0369999999998
3,2024-04-27,South,Apparel,2,674.81,0,1349.62
4,2024-07-11,South,Electronics,6,612.32,0,3673.92
5,2024-11-19,East,Grocery,4,358.81,0,1435.24
6,2024-09-08,South,Grocery,6,285.02,0,1710.12
7,2024-07-14,North,Grocery,3,216.33,5,616.5405
8,2024-12-25,West,Apparel,5,785.29,0,3926.45
9,2024-01-10,North,Home,2,212.6,0,425.2
10,2024-07-30,West,Grocery,4,505.31,0,2021.24
11,2024-10-04,East,Apparel,6,363.3,0,2179.8
12,2024-08-30,West,Electronics,4,337.3,0,1349.2
13,2024-10-19,South,Grocery,4,275.92,10,993.3120000000001
14,2024-03-28,North,Electronics,5,68.16,5,323.75999999999993
15,2024-03-11,East,Electronics,4,492.99,15,1676.166
16,2024-03-29,South,Home,3,265.12,0,795.36
17,2024-11-10,South,Home,5,746.15,10,3357.675
18,2024-07-12,West,Grocery,5,997.37,0,4986.85
19,2024-02-09,North,Home,3,646.18,0,1938.54
20,2024-03-28,West,Apparel,4,591.23,5,2246.674
21,2024-06-23,West,Grocery,7,797.27,0,5580.889999999999
22,2024-03-29,South,Grocery,4,103.49,0,413.96
23,2024-12-03,North,Electronics,2,443.91,0,887.82
24,2024-06-14,South,Grocery,5,397.7,15,1690.225
25,2024-01-26,North,Home,3,997.33,0,2991.9900000000002
26,2024-11-29,North,Grocery,4,713.74,0,2854.96
27,2024-03-13,West,Home,4,722.3,0,2889.2
28,2024-09-22,South,Electronics,5,406.83,0,2034.1499999999999
29,2024-04-25,North,Electronics,4,830.44,0,3321.76
30,2024-08-31,West,Electronics,6,384.42,0,2306.52
31,2024-07-16,South,Apparel,5,91.53,0,457.65
32,2024-12-01,West,Apparel,5,364.69,5,1732.2775
33,2024-12-04,West,Home,4,385.85,0,1543.4
34,2024-04-09,North,Apparel,6,750.55,15,3827.8049999999994
35,2024-06-26,North,Home,3,896.86,0,2690.58
36,2024-08-31,West,Grocery,4,571.4,10,2057.04
37,2024-10-12,North,Grocery,3,211.05,0,633.1500000000001
38,2024-05-27,North,Electronics,4,70.27,0,281.08
39,2024-05-27,West,Apparel,1,778.5,0,778.5
40,2024-10-15,North,Home,2,567.69,0,1135.38
41,2024-09-22,West,Home,6,547.57,5,3121.149
42,2024-07-04,West,Apparel,7,696.84,0,4877.88
43,2024-05-07,South,Home,5,357.26,0,1786.3
44,2024-02-02,North,Electronics,4,895.72,10,3224.592
45,2024-02-01,East,Home,5,159.57,10,718.0649999999999
46,2024-07-21,East,Electronics,6,241.23,0,1447.3799999999999
47,2024-09-01,North,Grocery,3,819.62,0,2458.86
48,2024-05-31,East,Grocery,4,827.39,0,3309.56
49,2024-06-12,East,Apparel,4,88.35,0,353.4
50,2024-07-02,West,Grocery,5,623.78,5,2962.9549999999995
51,2024-01-29,South,Apparel,2,703.38,10,1266.084
52,2024-10-17,South,Home,4,220.84,5,839.192
53,2024-05-08,West,Apparel,3,432.59,5,1232.8815
54,2024-05-08,North,Apparel,4,657.88,0,2631.52
55,2024-02-23,North,Grocery,4,119.8,0,479.2
56,2024-02-08,West,Electronics,4,578.54,0,2314.16
57,2024-09-01,South,Electronics,2,471.9,0,943.8
58,2024-09-30,West,Apparel,9,409.99,0,3689.91
59,2024-12-01,South,Apparel,4,309.18,0,1236.72
60,2024-04-15,North,Grocery,3,768.09,0,2304.27
61,2024-02-12,South,Grocery,1,663.9,0,663.9
62,2024-02-01,South,Home,2,604.01,0,1208.02
63,2024-09-14,North,Electronics,2,772.08,0,1544.16
64,2024-11-17,East,Grocery,4,111.15,0,444.6
65,2024-02-27,North,Apparel,2,266.73,15,453.44100000000003
66,2024-10-18,East,Grocery,5,481.96,15,2048.33
67,2024-12-24,East,Home,3,548.6,0,1645.8000000000002
68,2024-04-29,South,Grocery,6,573.33,0,3439.9800000000005
69,2024-09-24,North,Grocery,5,536.79,0,2683.95
70,2024-03-23,South,Electronics,5,408.11,0,2040.5500000000002
71,2024-04-01,North,Home,3,87.63,0,262.89
72,2024-04-09,West,Grocery,6,873.19,0,5239.14
73,2024-02-23,West,Apparel,5,380.88,0,1904.4
74,2024-05-01,North,Apparel,4,630.57,0,2522.28
75,2024-03-25,North,Apparel,1,649.45,0,649.45
76,2024-07-22,North,Electronics,2,720.1,5,1368.19
77,2024-11-20,North,Electronics,5,606.71,0,3033.55
78,2024-09-19,North,Apparel,4,717.42,15,2439.2279999999996
79,2024-02-17,West,Home,2,882.16,0,1764.32
80,2024-05-07,West,Apparel,4,984.3,0,3937.2
81,2024-05-11,South,Apparel,2,770.28,0,1540.56
82,2024-12-22,East,Grocery,5,762.28,0,3811.3999999999996
83,2024-06-29,West,Electronics,3,896.56,5,2555.196
84,2024-11-30,West,Home,5,587.0,5,2788.25
85,2024-05-23,East,Home,2,841.14,0,1682.28
86,2024-05-28,East,Electronics,6,733.92,5,4183.343999999999
87,2024-08-15,South,Home,4,660.29,0,2641.16
88,2024-10-06,East,Grocery,3,975.53,0,2926.59
89,2024-07-26,North,Home,6,50.24,15,256.224
90,2024-12-07,North,Grocery,3,537.31,15,1370.1404999999997
91,2024-02-18,South,Apparel,4,579.44,0,2317.76
92,2024-11-01,North,Home,5,242.63,15,1031.1775
93,2024-03-10,North,Electronics,4,623.16,0,2492.64
94,2024-06-18,South,Grocery,5,267.07,20,1068.28
95,2024-06-12,North,Grocery,5,326.94,0,1634.7
96,2024-04-05,North,Apparel,3,973.79,5,2775.3014999999996
97,2024-07-16,East,Apparel,5,527.28,15,2240.9399999999996
98,2024-04-04,South,Electronics,2,165.14,15,280.73799999999994
99,2024-09-13,East,Home,3,821.25,5,2340.5625
100,2024-06-27,South,Apparel,3,130.34,0,391.02
101,2024-10-19,South,Grocery,3,749.84,5,2137.044
102,2024-10-31,East,Grocery,4,336.85,0,1347.4
103,2024-12-15,South,Grocery,4,853.3,0,3413.2
104,2024-04-08,West,Grocery,6,153.7,0,922.1999999999999
105,2024-02-12,North,Grocery,4,519.9,15,1767.6599999999999
106,2024-07-20,East,Home,5,119.18,10,536.3100000000001
107,2024-01-01,West,Grocery,2,868.51,0,1737.02
108,2024-02-13,West,Home,2,937.24,0,1874.48
109,2024-01-24,North,Home,6,722.58,0,4335.4800000000005
110,2024-07-06,East,Grocery,4,872.06,0,3488.24
111,2024-05-10,South,Electronics,4,200.36,0,801.44
112,2024-04-08,West,Grocery,5,483.47,0,2417.3500000000004
113,2024-03-03,North,Home,5,599.73,5,2848.7174999999997
114,2024-08-10,West,Grocery,4,965.51,0,3862.04
115,2024-05-03,North,Apparel,2,611.18,0,1222.36
116,2024-03-23,East,Apparel,4,473.63,0,1894.52
117,2024-08-15,South,Electronics,5,922.73,0,4613.65
118,2024-05-28,North,Grocery,4,699.84,5,2659.392
119,2024-07-28,South,Apparel,8,927.58,0,7420.64
120,2024-02-20,West,Home,4,115.2,10,414.72
121,2024-09-27,North,Apparel,5,125.68,0,628.4000000000001
122,2024-02-11,North,Electronics,3,849.23,0,2547.69
123,2024-02-28,West,Home,3,836.23,10,2257.821
124,2024-07-12,West,Home,4,174.79,0,699.16
125,2024-02-06,South,Electronics,2,583.64,0,1167.28
126,2024-09-23,West,Apparel,4,356.78,5,1355.764
127,2024-03-27,East,Home,5,330.31,0,1651.55
128,2024-02-13,East,Apparel,4,198.28,5,753.4639999999999
129,2024-12-26,West,Home,4,380.47,0,1521.88
130,2024-01-12,North,Electronics,5,846.96,5,4023.06
131,2024-09-15,North,Grocery,5,881.88,0,4409.4
132,2024-11-03,North,Apparel,5,612.12,0,3060.6
133,2024-03-21,South,Electronics,2,442.08,0,884.16
134,2024-02-02,North,Grocery,2,188.3,0,376.6
135,2024-07-01,West,Grocery,2,191.13,0,382.26
136,2024-05-08,East,Grocery,3,965.11,0,2895.33
137,2024-10-21,West,Electronics,3,897.25,0,2691.75
138,2024-10-02,North,Home,7,960.34,0,6722.38
139,2024-06-23,South,Electronics,5,562.52,10,2531.34
140,2024-02-12,North,Apparel,2,989.05,0,1978.1
141,2024-07-03,North,Grocery,3,711.51,0,2134.5299999999997
142,2024-03-18,West,Home,4,723.41,10,2604.276
143,2024-10-13,West,Home,2,899.29,20,1438.864
144,2024-10-07,West,Electronics,7,775.88,0,5431.16
145,2024-05-05,West,Home,4,754.22,0,3016.88
146,2024-09-15,South,Electronics,5,112.72,0,563.6
147,2024-01-04,North,Home,5,819.91,5,3894.5724999999998
148,2024-04-04,West,Grocery,7,260.27,0,1821.8899999999999
149,2024-08-14,East,Apparel,6,689.81,10,3724.9739999999997
150,2024-12-29,West,Electronics,7,967.76,5,6435.603999999999
151,2024-09-26,West,Apparel,2,746.26,0,1492.52
152,2024-10-23,West,Apparel,4,634.19,0,2536.76
153,2024-11-24,South,Apparel,3,194.78,0,584.34
154,2024-01-20,West,Home,3,315.4,5,898.8899999999999
155,2024-04-05,South,Grocery,5,850.38,0,4251.9
156,2024-11-24,North,Grocery,5,957.13,15,4067.8025
157,2024-09-05,South,Apparel,3,324.81,15,828.2655000000001
158,2024-06-29,East,Apparel,7,396.25,10,2496.375
159,2024-11-19,South,Grocery,3,567.08,0,1701.2400000000002
160,2024-11-13,North,Home,4,266.71,0,1066.84
161,2024-09-27,South,Home,3,661.63,20,1587.912
162,2024-12-18,South,Electronics,4,196.75,10,708.3000000000001
163,2024-09-17,West,Grocery,4,232.89,0,931.56
164,2024-08-25,North,Grocery,7,774.92,0,5424.44
165,2024-05-19,East,Grocery,3,199.64,0,598.92
166,2024-03-27,North,Home,4,518.84,5,1971.592
167,2024-04-19,East,Home,2,851.89,0,1703.78
168,2024-11-27,South,Electronics,7,477.76,20,2675.456
169,2024-07-03,West,Grocery,9,72.73,0,654.57
170,2024-01-17,South,Electronics,6,180.58,0,1083.48
171,2024-06-01,North,Grocery,7,343.2,0,2402.4
172,2024-05-29,West,Grocery,4,447.0,15,1519.8
173,2024-04-20,West,Grocery,4,75.77,0,303.08
174,2024-01-26,East,Electronics,5,999.9,0,4999.5
175,2024-04-27,North,Apparel,4,883.43,0,3533.72
176,2024-03-24,North,Home,2,309.99,0,619.98
177,2024-06-10,South,Home,2,351.99,0,703.98
178,2024-12-26,South,Electronics,5,975.43,0,4877.15
179,2024-08-16,North,Electronics,6,249.6,10,1347.84
180,2024-09-08,South,Home,2,735.9,0,1471.8
181,2024-05-01,South,Grocery,3,338.58,0,1015.74
182,2024-11-22,South,Electronics,5,547.16,20,2188.64
183,2024-10-14,South,Grocery,6,925.8,5,5277.0599999999995
184,2024-01-14,West,Home,7,180.57,0,1263.99
185,2024-11-23,East,Home,4,541.69,20,1733.4080000000004
186,2024-07-03,West,Home,8,837.88,0,6703.04
187,2024-06-01,South,Grocery,8,81.88,0,655.04
188,2024-03-20,South,Electronics,3,793.71,5,2262.0735
189,2024-02-11,South,Home,2,834.55,0,1669.1
190,2024-10-01,North,Grocery,6,581.24,10,3138.696
191,2024-02-10,South,Grocery,6,485.86,5,2769.4019999999996
192,2024-07-26,West,Apparel,3,815.75,0,2447.25
193,2024-09-24,North,Home,6,627.32,5,3575.7239999999997
194,2024-06-15,West,Electronics,9,564.3,5,4824.764999999999
195,2024-04-21,West,Home,6,501.19,0,3007.14
196,2024-12-15,South,Apparel,4,791.49,0,3165.96
197,2024-05-09,East,Home,4,585.6,0,2342.4
198,2024-08-11,South,Apparel,3,115.66,5,329.63100000000003
199,2024-10-27,South,Apparel,5,644.4,0,3222.0
200,2024-08-04,North,Home,3,83.84,5,238.944
201,2024-01-25,West,Electronics,7,332.98,10,2097.7740000000003
202,2024-03-08,North,Home,5,180.32,5,856.5199999999999
203,2024-09-16,North,Grocery,7,217.89,0,1525.23
204,2024-08-22,South,Grocery,2,524.09,0,1048.18
205,2024-07-23,East,Apparel,4,222.97,0,891.88
206,2024-10-18,South,Grocery,3,607.12,10,1639.2240000000002
207,2024-08-02,East,Home,3,149.32,5,425.56199999999995
208,2024-07-08,North,Grocery,2,986.6,15,1677.22
209,2024-07-16,South,Home,4,616.28,0,2465.12
210,2024-08-03,South,Grocery,5,605.53,0,3027.6499999999996
211,2024-02-13,East,Electronics,7,471.24,0,3298.6800000000003
212,2024-02-02,North,Grocery,3,465.28,0,1395.84
213,2024-01-12,North,Apparel,5,695.82,10,3131.1900000000005
214,2024-04-14,North,Electronics,3,114.85,0,344.54999999999995
215,2024-07-31,West,Electronics,3,437.26,0,1311.78
216,2024-05-18,North,Home,4,523.04,5,1987.5519999999997
217,2024-07-01,South,Home,6,403.08,0,2418.48
218,2024-05-05,North,Apparel,4,865.08,0,3460.32
219,2024-06-05,South,Apparel,2,479.23,0,958.46
220,2024-04-21,West,Apparel,4,883.65,0,3534.6
221,2024-09-15,South,Apparel,1,871.34,0,871.34
222,2024-01-28,East,Electronics,3,749.98,0,2249.94
223,2024-08-05,East,Apparel,6,181.48,0,1088.8799999999999
224,2024-05-31,North,Grocery,9,83.06,15,635.409
225,2024-11-05,East,Grocery,3,336.86,0,1010.58
226,2024-11-03,West,Grocery,6,525.36,5,2994.5519999999997
227,2024-06-23,East,Apparel,9,713.72,0,6423.4800000000005
228,2024-05-28,North,Grocery,4,475.48,5,1806.824
229,2024-01-30,South,Home,3,872.85,0,2618.55
230,2024-03-08,South,Electronics,3,393.08,10,1061.316
231,2024-02-05,South,Apparel,6,235.75,0,1414.5
232,2024-10-22,North,Electronics,2,84.39,0,168.78
233,2024-03-14,West,Home,4,731.36,0,2925.44
234,2024-10-24,North,Electronics,3,542.27,5,1545.4695
235,2024-10-29,North,Electronics,4,706.94,0,2827.76
236,2024-08-06,East,Apparel,6,521.05,10,2813.6699999999996
237,2024-12-30,North,Electronics,7,268.03,0,1876.2099999999998
238,2024-09-16,West,Apparel,7,724.19,0,5069.33
239,2024-10-14,East,Home,6,279.66,5,1594.062
240,2024-09-22,West,Grocery,2,519.5,5,987.05
241,2024-01-28,North,Apparel,4,832.06,5,3161.8279999999995
242,2024-07-18,West,Home,5,876.5,0,4382.5
243,2024-03-02,West,Home,5,440.93,10,1984.1850000000002
244,2024-12-07,South,Apparel,5,340.75,0,1703.75
245,2024-12-19,North,Apparel,2,106.32,0,212.64
246,2024-02-14,South,Electronics,9,898.93,10,7281.333
247,2024-10-17,East,Apparel,6,776.83,0,4660.9800000000005
248,2024-03-29,West,Grocery,9,429.34,0,3864.06
249,2024-02-03,North,Grocery,1,461.3,15,392.105
250,2024-05-13,North,Grocery,4,119.57,0,478.28
251,2024-08-20,East,Home,3,821.42,20,1971.408
252,2024-09-12,South,Grocery,2,608.35,0,1216.7
253,2024-02-06,South,Grocery,4,598.21,0,2392.84
254,2024-09-13,West,Electronics,3,729.84,5,2080.044
255,2024-10-17,North,Apparel,2,860.36,0,1720.72
256,2024-07-16,West,Electronics,6,54.34,0,326.04
257,2024-09-11,North,Electronics,2,147.75,15,251.17499999999998
258,2024-03-21,South,Home,4,588.97,5,2238.086
259,2024-05-16,West,Home,6,416.73,0,2500.38
260,2024-07-08,South,Home,6,218.68,0,1312.08
261,2024-05-09,North,Apparel,5,879.35,5,4176.912499999999
262,2024-07-28,West,Home,2,958.17,15,1628.889
263,2024-10-18,South,Grocery,3,199.29,0,597.87
264,2024-12-13,West,Electronics,4,860.29,0,3441.16
265,2024-06-17,East,Home,1,274.61,0,274.61
266,2024-10-19,South,Electronics,4,968.35,5,3679.73
267,2024-06-25,West,Home,5,961.1,0,4805.5
268,2024-01-26,East,Grocery,1,590.11,5,560.6045
269,2024-11-19,West,Electronics,6,720.67,0,4324.0199999999995
270,2024-12-25,North,Apparel,5,712.26,0,3561.3
271,2024-10-18,East,Electronics,5,679.25,15,2886.8125
272,2024-04-24,West,Electronics,4,664.66,15,2259.844
273,2024-10-13,North,Grocery,2,290.12,0,580.24
274,2024-01-30,North,Apparel,4,588.66,10,2119.176
275,2024-08-29,West,Apparel,4,759.64,0,3038.56
276,2024-10-16,West,Home,4,955.24,15,3247.816
277,2024-05-26,South,Home,3,308.9,15,787.6949999999999
278,2024-09-30,East,Apparel,2,766.78,0,1533.56
279,2024-08-09,West,Apparel,4,240.08,10,864.288
280,2024-12-06,North,Apparel,3,990.44,0,2971.32
281,2024-01-03,South,Home,4,451.09,15,1533.706
282,2024-03-10,West,Home,2,751.72,0,1503.44
283,2024-12-23,East,Grocery,7,259.54,0,1816.7800000000002
284,2024-02-14,North,Apparel,3,589.16,15,1502.358
285,2024-09-10,West,Grocery,8,763.01,0,6104.08
286,2024-11-18,East,Apparel,3,763.83,0,2291.4900000000002
287,2024-04-21,West,Grocery,1,717.77,0,717.77
288,2024-04-01,East,Electronics,1,351.12,15,298.452
289,2024-12-07,West,Apparel,5,464.43,10,2089.935
290,2024-02-09,West,Grocery,5,170.34,0,851.7
291,2024-05-30,West,Home,3,572.4,0,1717.1999999999998
292,2024-05-25,South,Home,3,446.39,10,1205.2530000000002
293,2024-07-17,East,Grocery,4,77.47,15,263.39799999999997
294,2024-10-01,East,Apparel,5,252.57,5,1199.7074999999998
295,2024-12-14,North,Home,2,167.89,0,335.78
296,2024-02-13,South,Grocery,2,130.29,5,247.55099999999996
297,2024-03-24,South,Grocery,7,84.84,5,564.1859999999999
298,2024-10-24,North,Apparel,4,564.0,10,2030.4
